"","incomes_hh","expenditures_hh","incomes_fc","expenditures_fc","incomes_nfc","expenditures_nfc","incomes_gg","expenditures_gg","incomes_row","expenditures_row"
"GDP",6229,0,3210,0,19923,0,4092,0,0,0
"Wage Bill",12739,0,0,951,0,8206,0,3581,0,0
"Net Taxes",0,4293,0,536,0,1519,10806,0,0,684
"Property Income:Interest",355,599,7971,3919,349,716,40,510,3493,6465
"Incomes: Pensions & other",1470,0,0,1856,0,0,0,0,0,-386
"Dividends",377,0,994,3826,484,13977,110,0,7919,0
"Financial Consumption",1082,848,1918,1939,132,207,42,368,1332,1144
"Consumption",0,17262,0,0,23258,0,0,5996,0,0
"Capital Transfers",162,0,0,0,175,0,0,-86,-423,0
"Gross capital formation",0,3989,0,176,9301,0,0,2204,0,0
"Net Exports",0,0,0,0,31253,25628,0,0,25628,31253
"net social contributions",561,0,781,0,0,0,0,1277,-65,0
"Net Lending/Borrowing in non-financial account",0,-4017,0,1674,0,1262,0,1240,0,-1276
