"","incomes_hh","expenditures_hh","incomes_fc","expenditures_fc","incomes_nfc","expenditures_nfc","incomes_gg","expenditures_gg","incomes_row","expenditures_row"
"GDP",5752,0,2941,0,18762,0,3697,0,0,0
"Wage Bill",12129,0,0,883,0,8061,0,3186,0,0
"Net Taxes",0,1977,0,740,0,1809,8185,0,0,373
"Property Income:Interest",368,578,7400,3817,668,721,50,687,3336,6018
"Incomes: Pensions & other",1334,0,0,1666,0,0,0,0,0,-331
"Dividends",440,0,1086,3864,519,14214,305,0,7864,0
"Financial Consumption",917,847,1845,1866,132,207,72,403,1294,938
"Consumption",0,15827,0,0,21339,0,0,5512,0,0
"Capital Transfers",23,0,0,0,-209,0,0,-173,14,0
"Gross capital formation",0,3618,0,148,8129,0,0,972,0,0
"Net Exports",0,0,0,0,28990,23138,0,0,23138,28990
"net social contributions",425,0,682,0,0,0,0,1074,-31,0
"Net Lending/Borrowing in non-financial account",0,-1459,0,970,0,-752,0,647,0,-372
